hex_code,bits_sequence
00,+-00+-
20,00-++-
40,+0+00-
60,0-0++0
01,0+-+-0
21,--+00+
41,++00-0
61,00-+0+
02,+-0+-0
22,++-0+-
42,+0+0-0
62,0-0+0+
03,-0++-0
23,++-0-+
43,0++0-0
63,-00+0+
04,-0+0+-
24,00+0-+
44,0++00-
64,-00++0
05,0+--0+
25,00+0+-
45,++0-00
65,00-0++
06,+-0-0+
26,00-00+
46,+0+-00
66,0-00++
07,-0+-0+
27,--+++-
47,0++-00
67,-000++
08,-+00+-
28,-0-++0
48,000+00
68,-+-++0
09,0-++-0
29,--0+0+
49,000-++
69,--++0+
0a,-+0+-0
2a,-0-+0+
4a,000+-+
6a,-+-+0+
0b,+0-+-0
2b,0--+0+
4b,000++-
6b,+--+0+
0c,+0-0+-
2c,0--++0
4c,000-+0
6c,+--++0
0d,0-+-0+
2d,--00++
4d,000-0+
6d,--+0++
0e,-+0-0+
2e,-0-0++
4e,000+-0
6e,-+-0++
0f,+0--0+
2f,0--0++
4f,000+0-
6f,+--0++
10,+0+--0
30,+-00-+
50,+0+--+
70,-++000
11,++0-0-
31,0+--+0
51,++0-+-
71,+-+000
12,+0+-0-
32,+-0-+0
52,+0+-+-
72,++-000
13,0++-0-
33,-0+-+0
53,0++-+-
73,00+000
14,0++--0
34,-0+0-+
54,0++--+
74,-0+000
15,++00--
35,0+-+0-
55,++0+--
75,0-+000
16,+0+0--
36,+-0+0-
56,+0++--
76,+0-000
17,0++0--
37,-0++0-
57,0+++--
77,0+-000
18,0+-0+-
38,-+00-+
58,+++0--
78,0--+++
19,0+-0-+
39,0-+-+0
59,+++-0-
79,-0-+++
1a,0+-++-
3a,-+0-+0
5a,+++--0
7a,--0+++
1b,0+-00+
3b,+0--+0
5b,++0--0
7b,--0++0
1c,0-+00+
3c,+0-0-+
5c,++0--+
7c,++-00-
1d,0-+++-
3d,0-++0-
5d,++000-
7d,00+00-
1e,0-+0-+
3e,-+0+0-
5e,--+++0
7e,++---+
1f,0-+0+-
3f,+0-+0-
5f,00-++0
7f,00+--+
80,+-+00-
a0,0-0++-
c0,+-+0+-
e0,+-0++-
81,++-0-0
a1,00-+-+
c1,++-+-0
e1,0+-+-+
82,+-+0-0
a2,0-0+-+
c2,+-++-0
e2,+-0+-+
83,-++0-0
a3,-00+-+
c3,-+++-0
e3,-0++-+
84,-++00-
a4,-00++-
c4,-++0+-
e4,-0+++-
85,++--00
a5,00--++
c5,++--0+
e5,0+--++
86,+-+-00
a6,0-0-++
c6,+-+-0+
e6,+-0-++
87,-++-00
a7,-00-++
c7,-++-0+
e7,-0+-++
88,0+000-
a8,-+-++-
c8,0+00+-
e8,-+0++-
89,00+0-0
a9,--++-+
c9,00++-0
e9,0-++-+
8a,0+00-0
aa,-+-+-+
ca,0+0+-0
ea,-+0+-+
8b,+000-0
ab,+--+-+
cb,+00+-0
eb,+0-+-+
8c,+0000-
ac,+--++-
cc,+000+-
ec,+0-++-
8d,00+-00
ad,--+-++
cd,00+-0+
ed,0-+-++
8e,0+0-00
ae,-+--++
ce,0+0-0+
ee,-+0-++
8f,+00-00
af,+---++
cf,+00-0+
ef,+0--++
90,+-+--+
b0,0-000+
d0,+-+0-+
f0,+-000+
91,++--+-
b1,00-0+0
d1,++--+0
f1,0+-0+0
92,+-+-+-
b2,0-00+0
d2,+-+-+0
f2,0+-00+
93,-++-+-
b3,-000+0
d3,-++-+0
f3,-0+0+0
94,-++--+
b4,-0000+
d4,-++0-+
f4,-0+00+
95,++-+--
b5,00-+00
d5,++-+0-
f5,0+-+00
96,+-++--
b6,0-0+00
d6,+-++0-
f6,+-0+00
97,-+++--
b7,-00+00
d7,-+++0-
f7,-0++00
98,0+0--+
b8,-+-00+
d8,0+00-+
f8,-+000+
99,00+-+-
b9,--+0+0
d9,00+-+0
f9,0-+0+0
9a,0+0-+-
ba,-+-0+0
da,0+0-+0
fa,-+00+0
9b,+00-+-
bb,+--0+0
db,+00-+0
fb,+0-0+0
9c,+00--+
bc,+--00+
dc,+000-+
fc,+0-00+
9d,00++--
bd,--++00
dd,00++0-
fd,0-++00
9e,0+0+--
be,-+-+00
de,0+0+0-
fe,-+0+00
9f,+00+--
bf,+--+00
df,+00+0-
ff,+0-+00
